client,date_of_purchase,units,price_per_unit,payment_method,payment_hour,country
Recticel,2023-03-01,28,282.02,debit_card,07:09,Netherlands
Recticel,2023-05-29,91,78.13,credit_card,10:43,San Marino
Moncler,2023-09-07,56,293.0,credit_card,04:47,Bosnia and Herzegovina
Rentokil Initial,2023-10-23,92,48.14,debit_card,08:30,Bulgaria
Novo Nordisk,2023-10-04,19,138.63,debit_card,22:57,Bulgaria
Vattenfall,2023-07-21,9,134.1,debit_card,12:39,Vatican City
Thales Group,2023-08-22,59,285.54,cash,13:41,Bosnia and Herzegovina
Ferrovial,2023-09-26,83,163.03,credit_card,06:49,Norway
Vodafone Group,2023-05-10,75,33.82,debit_card,01:08,Cyprus
ABB,2023-06-14,77,206.38,cash,08:27,Montenegro
UPM-Kymmene,2023-04-21,53,286.1,cash,09:11,Belarus
Antofagasta,2023-09-12,21,176.74,debit_card,00:03,Moldova
JD Wetherspoon,2023-01-31,19,33.53,cash,12:15,Switzerland
Valeo,2023-09-25,28,75.95,cash,01:47,Andorra
Danske Bank,2023-09-10,65,244.8,cash,21:11,Poland
NN Group,2023-01-20,48,94.13,credit_card,17:54,Montenegro
Kingspan Group,2023-06-23,10,291.19,cash,09:39,Malta
EasyJet,2023-06-02,21,181.47,cash,07:58,Ireland
Whitbread,2023-09-12,41,182.55,cash,12:11,Romania
Kerry Group,2023-07-21,75,164.26,cash,01:35,Germany
Endesa,2023-02-05,67,206.59,credit_card,17:41,Spain
Outokumpu,2023-03-08,62,117.5,cash,09:36,Luxembourg
Melrose Industries,2023-12-30,61,239.41,cash,18:50,San Marino
EssilorLuxottica,2023-08-21,21,106.6,debit_card,11:00,Ireland
BT Group,2023-09-25,11,162.51,cash,01:52,Romania
Orkla,2023-09-06,9,256.22,cash,13:19,Kosovo
Spirax-Sarco Engineering,2023-11-11,32,154.88,debit_card,17:22,Norway
Unilever,2023-04-28,62,235.95,debit_card,22:12,Belarus
Jerónimo Martins,2023-01-06,50,43.39,credit_card,08:19,Malta
Givaudan,2023-06-04,21,19.19,credit_card,02:19,United Kingdom
BT Group,2023-07-04,80,92.51,cash,16:40,Luxembourg
Equinor,2023-01-14,74,142.7,credit_card,21:34,Belgium
Knight Frank,2023-06-19,90,41.87,debit_card,04:24,Latvia
Evraz,2023-09-27,50,263.96,cash,15:44,Czech Republic
Kindred Group,2023-05-17,74,270.54,debit_card,13:39,Albania
Thales Group,2023-01-19,30,181.12,debit_card,20:44,Andorra
Kerry Group,2023-04-15,8,167.62,debit_card,15:17,Spain
Continental AG,2023-06-05,53,259.16,cash,12:48,Liechtenstein
Melrose Industries,2023-08-10,61,50.62,debit_card,05:32,Estonia
ASML Holding,2023-09-19,1,157.26,debit_card,00:25,Poland
Anheuser-Busch InBev,2023-02-25,9,166.2,credit_card,11:14,Romania
MAN SE,2023-04-05,86,164.79,debit_card,07:07,Croatia
Diageo,2023-10-20,19,257.82,cash,04:53,Poland
InterContinental Hotels Group,2023-10-11,73,102.77,credit_card,02:27,Cyprus
Imperial Brands,2023-06-05,51,175.01,debit_card,01:20,Latvia
Solvay,2023-08-12,45,207.65,debit_card,19:14,Liechtenstein
Phoenix Group Holdings,2023-11-04,26,219.3,debit_card,23:30,Latvia
BT Group,2023-12-18,50,105.93,debit_card,18:05,Portugal
Aviva,2023-10-21,62,102.63,credit_card,07:12,Bulgaria
888 Holdings,2023-10-29,78,95.68,cash,06:49,Portugal
CRH plc,2023-10-26,12,137.1,cash,17:21,Moldova
Beiersdorf,2023-04-03,9,140.78,cash,10:30,Latvia
GSK,2023-11-08,43,299.03,debit_card,16:08,Germany
Swiss Re,2023-09-18,8,21.19,credit_card,14:42,Denmark
Danske Bank,2023-05-08,32,115.39,debit_card,08:52,Denmark
Argenta,2023-02-21,89,119.48,credit_card,02:29,Moldova
Roche,2023-02-26,70,182.23,cash,09:35,Moldova
DNB ASA,2023-08-04,26,200.36,credit_card,04:08,Belgium
Alantra Partners,2023-10-31,25,103.8,credit_card,20:24,Bosnia and Herzegovina
K+S AG,2023-10-18,54,111.6,cash,02:15,Luxembourg
Osram,2023-12-06,66,80.95,credit_card,19:29,France
Vestas,2023-07-06,30,253.81,credit_card,09:32,Kosovo
Vodafone Group,2023-10-03,45,20.94,cash,03:38,Slovakia
Greene King,2023-09-01,70,143.2,debit_card,18:17,Belgium
Raiffeisen Bank,2023-10-06,82,116.04,debit_card,11:42,Portugal
Morrison Supermarkets,2023-04-12,12,26.35,debit_card,15:25,Belarus
Royal Dutch Shell,2023-08-06,77,51.52,cash,00:32,Italy
Kerry Group,2023-02-15,69,270.08,credit_card,23:15,Serbia
UCB,2023-09-22,93,238.21,cash,01:47,Croatia
Koninklijke Philips,2023-08-14,41,279.37,cash,04:53,Luxembourg
Legal & General,2023-06-28,37,216.86,credit_card,07:06,Kosovo
Telia Company,2023-12-08,64,68.18,credit_card,14:13,San Marino
Telefónica,2023-06-07,23,63.82,credit_card,15:16,Sweden
Coloplast,2023-03-29,98,281.46,credit_card,19:43,Lithuania
GN Store Nord,2023-04-27,26,152.08,cash,14:46,Germany
Clariant,2023-04-12,12,16.05,debit_card,10:32,Denmark
K+S AG,2023-11-11,81,167.98,debit_card,07:22,Norway
DNB ASA,2023-10-11,14,188.21,credit_card,00:07,Ireland
Sonae,2023-03-20,51,245.15,credit_card,10:58,Romania
Orange,2023-06-27,75,275.52,credit_card,09:28,Belgium
Electrolux,2023-11-08,94,14.72,credit_card,02:40,Bulgaria
Phoenix Group Holdings,2023-06-27,36,61.9,credit_card,21:16,Andorra
Fortum,2023-09-08,16,114.48,cash,18:53,Hungary
Smurfit Kappa,2023-09-23,94,163.07,cash,03:58,Luxembourg
Pandora,2023-03-20,24,150.89,cash,20:29,Estonia
Melrose Industries,2023-03-30,3,100.21,debit_card,22:19,San Marino
Acerinox,2023-06-08,8,41.59,debit_card,08:50,San Marino
Delhaize Group,2023-07-14,68,283.19,cash,20:10,Switzerland
ABB,2023-05-10,85,225.01,credit_card,13:31,Kosovo
Coca-Cola HBC,2023-04-01,74,116.13,credit_card,08:45,Portugal
Airbus,2023-06-10,47,200.44,credit_card,10:08,Finland
Melrose Industries,2023-07-15,28,258.74,cash,03:58,Andorra
Iberdrola,2023-10-10,45,215.22,cash,15:27,Moldova
Bord na Móna,2023-08-04,90,270.14,credit_card,05:01,Romania
Nokia,2023-03-10,89,198.13,credit_card,23:11,Greece
Just Eat Takeaway,2023-05-29,29,13.89,debit_card,01:03,Luxembourg
Bae Systems,2023-03-17,12,130.37,cash,08:23,Bosnia and Herzegovina
Unilever,2023-05-31,6,161.71,cash,03:23,Montenegro
ACS Group,2023-08-13,16,70.06,credit_card,09:12,Belarus
Andritz AG,2023-12-17,100,129.9,cash,13:32,Germany
Paddy Power Betfair,2023-06-01,97,223.87,credit_card,03:03,Italy
Aker BP,2023-12-15,8,291.4,cash,14:44,Cyprus
Assicurazioni Generali,2023-11-03,34,154.81,debit_card,19:11,Denmark
Adidas,2023-11-11,4,43.2,cash,19:52,Switzerland
METRO AG,2023-02-14,19,200.6,cash,04:08,Moldova
Capgemini,2023-12-03,9,26.13,debit_card,13:54,Bulgaria
BMW,2023-04-09,42,191.0,cash,15:00,Malta
Barry Callebaut,2023-03-25,6,227.03,cash,10:10,Bosnia and Herzegovina
Diageo,2023-10-05,82,200.75,credit_card,22:24,Belarus
Grupo ACS,2023-03-25,88,137.44,cash,14:56,Croatia
Marks & Spencer,2023-08-28,8,125.87,credit_card,17:18,Belgium
Sonae,2023-08-23,72,279.23,credit_card,06:39,Austria
WPP plc,2023-02-06,27,226.15,debit_card,14:30,Poland
Burberry,2023-12-06,24,123.4,credit_card,19:28,Switzerland
Valeo,2023-12-24,51,272.38,credit_card,04:58,Bosnia and Herzegovina
Intesa Sanpaolo,2023-10-22,64,37.63,credit_card,03:42,Finland
Vodafone,2023-07-03,30,112.57,cash,16:04,Bosnia and Herzegovina
UPM-Kymmene,2023-07-06,4,179.31,credit_card,22:52,Latvia
Leonardo S.p.A.,2023-10-11,6,195.04,credit_card,19:12,Austria
Sika AG,2023-06-14,36,173.63,credit_card,02:41,Montenegro
888 Holdings,2023-11-18,60,199.11,cash,06:22,Hungary
Rolls-Royce Holdings,2023-11-14,48,165.06,credit_card,13:52,Montenegro
H&M,2023-07-16,85,97.43,debit_card,06:33,Lithuania
Admiral Group,2023-03-17,3,76.02,debit_card,06:08,Slovenia
Ørsted,2023-10-12,24,20.95,debit_card,10:24,Montenegro
Balfour Beatty,2023-04-25,11,89.99,cash,07:35,Iceland
Ferrero,2023-02-20,23,138.99,credit_card,05:40,Switzerland
Air Liquide,2023-01-04,98,70.66,credit_card,08:47,Finland
GlaxoSmithKline,2023-09-10,18,264.75,cash,02:23,Finland
Tesco,2023-08-29,11,58.97,debit_card,15:39,Slovakia
Novartis,2023-09-10,93,178.43,debit_card,11:02,Belgium
Telia Company,2023-02-09,53,82.72,credit_card,08:39,Finland
Croda International,2023-03-22,9,12.19,debit_card,10:47,San Marino
888 Holdings,2023-12-21,11,223.76,credit_card,07:18,France
Schroders,2023-11-02,85,184.54,debit_card,06:50,Spain
Intesa Sanpaolo,2023-08-12,69,96.83,credit_card,06:04,Monaco
CBRE Group,2023-06-24,38,264.58,debit_card,13:27,Andorra
Swiss Re,2023-07-05,12,289.57,cash,06:10,United Kingdom
Admiral Group,2023-12-23,82,236.58,credit_card,06:46,Estonia
EDF Energy,2023-07-03,3,240.83,cash,15:47,Sweden
HeidelbergCement,2023-12-21,56,234.61,debit_card,21:04,Vatican City
Next,2023-08-10,41,71.83,debit_card,17:23,Norway
Altice Europe,2023-03-13,78,44.77,cash,20:24,United Kingdom
EDF,2023-08-06,24,93.36,debit_card,05:23,Germany
Aviva,2023-08-19,77,149.06,debit_card,17:42,North Macedonia
Capgemini,2023-02-27,3,186.01,cash,16:29,Belgium
Ørsted,2023-05-06,79,262.85,debit_card,16:46,Ukraine
Geberit,2023-08-02,86,58.55,cash,12:14,Netherlands
BNP Paribas,2023-12-08,82,220.85,credit_card,21:26,Serbia
SSAB,2023-01-02,86,95.58,debit_card,05:49,Montenegro
Orange,2023-10-30,3,214.96,cash,23:39,Montenegro
BMW,2023-02-21,100,183.77,credit_card,06:10,Luxembourg
Hikma Pharmaceuticals,2023-11-12,86,73.75,debit_card,17:23,Slovenia
Rolls-Royce Holdings,2023-03-18,89,120.32,debit_card,22:24,Malta
Red Eléctrica,2023-07-09,53,202.28,debit_card,22:48,Italy
Prudential plc,2023-05-26,11,54.58,cash,17:22,Croatia
GN Store Nord,2023-09-06,8,239.28,credit_card,02:50,Serbia
Ahold Delhaize,2023-12-04,31,193.16,credit_card,04:29,Netherlands
Pernod Ricard,2023-04-18,30,74.97,cash,23:37,Netherlands
Ocado Group,2023-10-02,19,155.4,debit_card,14:20,Liechtenstein
Leonardo S.p.A.,2023-08-30,25,146.64,debit_card,19:32,Czech Republic
Capgemini,2023-05-29,88,176.14,debit_card,17:08,Belgium
Kering,2023-09-08,53,92.22,credit_card,01:10,Croatia
Just Eat Takeaway,2023-04-30,33,262.37,debit_card,10:27,Latvia
Neste,2023-11-29,85,34.62,credit_card,05:18,Czech Republic
Blackstone Group,2023-10-07,44,196.62,debit_card,19:57,Iceland
Lloyds Banking Group,2023-06-24,47,101.46,debit_card,08:49,Portugal
Swiss Re,2023-07-18,41,281.07,cash,01:56,Luxembourg
Puma,2023-12-14,48,249.95,cash,07:35,Spain
Prudential,2023-11-27,84,268.72,credit_card,10:02,Iceland
Melrose Industries,2023-07-21,23,199.79,debit_card,17:55,Sweden
Total,2023-01-29,48,204.4,cash,02:04,Romania
Société Générale,2023-12-31,98,206.3,debit_card,20:50,Bosnia and Herzegovina
Zalando,2023-02-23,68,96.54,cash,10:08,North Macedonia
SEB Group,2023-02-01,35,72.66,debit_card,02:02,Finland
Fincantieri,2023-05-28,31,174.65,credit_card,02:42,Denmark
MAN SE,2023-09-21,23,185.64,credit_card,12:25,Greece
Admiral Group,2023-07-30,9,202.34,cash,16:41,Poland
Barclays,2023-12-27,73,210.87,cash,04:22,Romania
CRH plc,2023-08-28,69,130.15,cash,12:49,Finland
A.P. Møller – Mærsk,2023-02-17,69,121.26,cash,22:23,Italy
Volvo,2023-08-01,29,285.0,cash,03:20,Hungary
Pearson plc,2023-12-11,86,115.14,debit_card,19:58,France
London Stock Exchange Group,2023-12-06,32,204.31,cash,20:27,Montenegro
Snam,2023-06-07,6,244.45,debit_card,06:35,Kosovo
Getinge,2023-06-25,56,182.85,debit_card,07:40,Belarus
Schneider Electric,2023-12-10,86,215.99,debit_card,12:06,Kosovo
HeidelbergCement,2023-07-29,16,18.33,debit_card,00:50,Romania
Blackstone Group,2023-12-13,37,166.81,credit_card,07:47,Switzerland
Wolseley,2023-08-06,98,231.4,credit_card,10:00,Ukraine
Grifols,2023-10-26,18,75.56,debit_card,19:25,Portugal
Ashtead Group,2023-11-20,91,175.54,cash,20:28,Slovakia
Berkeley Group Holdings,2023-06-07,5,254.47,debit_card,05:12,Lithuania
Coca-Cola European Partners,2023-06-16,31,257.31,debit_card,09:50,Ireland
Kuehne + Nagel,2023-02-07,9,24.92,credit_card,12:26,San Marino
Rolls-Royce Holdings,2023-11-28,88,67.47,credit_card,05:16,Hungary
CRH plc,2023-12-12,96,292.88,cash,23:50,Portugal
HSBC,2023-04-09,83,205.15,debit_card,22:45,Slovakia
Kerry Group,2023-06-10,41,185.88,cash,07:49,Slovakia
Lufthansa,2023-05-31,50,49.65,cash,03:59,Sweden
British American Tobacco,2023-07-10,15,193.93,credit_card,17:08,Slovakia
Burberry,2023-06-16,89,155.62,credit_card,07:02,United Kingdom
Legrand,2023-07-30,37,180.23,debit_card,01:26,France
Acerinox,2023-01-04,43,238.89,debit_card,12:50,Norway
Deutsche Börse,2023-03-05,58,105.65,cash,23:24,Bosnia and Herzegovina
Ryanair,2023-07-31,89,287.97,cash,06:42,Monaco
Maersk,2023-02-04,43,193.43,credit_card,11:00,Hungary
Taylor Wimpey,2023-07-07,84,140.76,cash,02:29,Czech Republic
Neste,2023-10-23,96,97.25,credit_card,04:18,Bulgaria
Maersk,2023-06-28,28,288.8,debit_card,12:30,Bosnia and Herzegovina
Hammerson,2023-06-19,30,101.79,cash,18:26,Bosnia and Herzegovina
Aegon,2023-06-14,48,220.56,cash,10:16,San Marino
Delivery Hero,2023-10-28,84,176.93,credit_card,21:01,Slovenia
ThyssenKrupp,2023-02-10,61,74.29,cash,23:28,Moldova
GSK,2023-04-18,97,253.38,credit_card,09:33,Serbia
Kingfisher plc,2023-09-19,48,171.38,cash,00:05,Albania
Fincantieri,2023-11-23,84,64.48,debit_card,02:58,Ukraine
Anheuser-Busch InBev,2023-01-16,4,36.23,credit_card,03:55,Poland
Sanofi,2023-07-22,12,218.95,cash,12:11,Greece
Segro,2023-06-16,42,16.64,cash,04:01,Czech Republic
RSA Insurance Group,2023-01-11,49,276.76,cash,15:01,France
Land Securities,2023-01-03,91,213.22,debit_card,14:52,Italy
Phoenix Group,2023-10-25,48,258.93,cash,10:35,Serbia
Porsche SE,2023-04-14,63,178.71,credit_card,22:44,Switzerland
Mediaset,2023-05-10,43,287.92,debit_card,10:41,Norway
Outokumpu,2023-07-05,51,161.71,cash,11:54,Estonia
Airbus,2023-12-04,47,206.95,credit_card,06:02,Kosovo
Lindt & Sprüngli,2023-06-10,47,187.65,debit_card,15:44,Croatia
Pernod Ricard,2023-04-12,13,292.66,cash,06:36,Czech Republic
Ørsted,2023-09-07,94,265.3,credit_card,07:28,Portugal
Melrose Industries,2023-01-13,6,239.77,cash,11:06,Poland
SSE plc,2023-04-07,89,184.96,cash,10:37,Bosnia and Herzegovina
Electrolux,2023-10-03,18,284.64,credit_card,02:10,United Kingdom
Persimmon plc,2023-04-25,51,218.34,cash,17:09,Sweden
Orange,2023-01-20,20,195.06,cash,07:37,Luxembourg
Osram,2023-09-07,85,174.76,credit_card,13:29,Portugal
Telefónica,2023-07-30,72,45.25,credit_card,04:48,Poland
Knight Frank,2023-09-19,20,206.44,credit_card,18:45,Spain
DSM,2023-10-13,84,275.09,cash,07:12,Greece
Kingspan Group,2023-01-21,14,83.5,debit_card,14:34,Monaco
United Utilities,2023-11-21,19,244.72,credit_card,04:04,Sweden
Barratt Developments,2023-05-01,28,191.62,cash,16:06,Italy
Ryanair,2023-04-18,73,97.32,debit_card,05:05,Montenegro
Coca-Cola HBC,2023-09-02,73,98.25,credit_card,04:01,Kosovo
Greene King,2023-04-28,67,270.33,debit_card,10:50,Montenegro
Air Liquide,2023-12-16,24,244.52,cash,06:47,Netherlands
Zurich Insurance Group,2023-04-12,13,96.57,credit_card,14:49,Monaco
Aena,2023-06-18,19,249.78,cash,23:34,North Macedonia
Kuehne + Nagel,2023-11-04,17,64.39,credit_card,11:39,Latvia
Bpost,2023-01-28,98,200.28,debit_card,05:13,Greece
Alfa Laval,2023-04-28,55,51.13,cash,02:38,Austria
Dassault Systèmes,2023-06-26,34,71.34,debit_card,09:00,Slovakia
Fincantieri,2023-04-28,66,119.43,debit_card,13:27,Vatican City
Voestalpine,2023-05-07,33,208.88,debit_card,14:45,Ukraine
Thales Group,2023-05-21,47,54.94,debit_card,12:59,United Kingdom
Admiral Group,2023-02-26,23,280.73,credit_card,11:49,United Kingdom
Zalando,2023-10-22,24,281.69,debit_card,16:07,Luxembourg
Kingfisher plc,2023-09-07,54,230.53,debit_card,10:28,Spain
Kingfisher plc,2023-03-21,56,162.9,cash,02:22,Ukraine
Mitchells & Butlers,2023-09-25,89,134.72,cash,17:01,Belarus
Diageo,2023-06-12,38,138.5,credit_card,20:28,Greece
Deutsche Telekom,2023-10-14,14,206.48,debit_card,05:07,Moldova
Ferrero,2023-12-05,91,239.74,debit_card,18:11,Hungary
AkzoNobel,2023-08-04,25,232.16,debit_card,00:49,Andorra
An Post,2023-11-29,49,66.43,cash,03:05,Germany
Burberry,2023-09-16,76,219.63,debit_card,11:15,Monaco
AkzoNobel,2023-09-02,56,26.82,cash,16:39,San Marino
Playtech,2023-12-06,15,206.6,credit_card,14:23,United Kingdom
HSBC,2023-12-04,29,226.57,credit_card,02:47,Liechtenstein
Ericsson,2023-06-21,70,27.11,debit_card,18:46,Norway
Aviva,2023-11-22,19,164.46,credit_card,22:00,Serbia
Strabag,2023-05-29,15,29.45,cash,19:09,Norway
Airbus,2023-10-05,2,53.75,cash,04:34,Cyprus
Leonardo S.p.A.,2023-05-31,57,27.84,debit_card,06:39,Bulgaria
Paddy Power Betfair,2023-08-17,95,97.0,credit_card,21:32,Vatican City
Tele2,2023-06-05,9,21.8,credit_card,23:04,San Marino
Novo Nordisk,2023-06-09,55,252.8,cash,06:46,Ireland
Centrica,2023-01-29,30,44.27,debit_card,13:44,Slovenia
Telefónica,2023-02-04,86,170.85,cash,07:35,Spain
Pernod Ricard,2023-09-26,38,118.68,cash,23:38,Spain
International Airlines Group,2023-08-09,23,67.85,cash,16:18,Spain
Paddy Power Betfair,2023-09-15,89,155.51,debit_card,21:18,Slovakia
GlaxoSmithKline,2023-12-19,4,167.94,debit_card,15:13,Poland
Philips,2023-07-31,72,187.88,cash,02:37,Vatican City
Equinor,2023-12-18,64,114.48,debit_card,03:17,Belarus
Merck Group,2023-01-11,71,123.29,cash,02:41,Malta
Vestas,2023-10-16,69,207.55,cash,06:45,Cyprus
Segro,2023-02-15,9,251.34,cash,12:54,Monaco
UniCredit,2023-01-27,42,272.43,cash,04:30,Portugal
Zurich Insurance Group,2023-08-31,17,158.7,debit_card,16:55,Switzerland
Sika AG,2023-11-22,79,144.26,cash,07:29,Bosnia and Herzegovina
Cellnex,2023-01-04,49,286.48,debit_card,13:35,Germany
Ferguson plc,2023-12-12,26,17.13,cash,05:24,Denmark
Associated British Foods,2023-07-19,7,231.53,cash,02:19,Germany
Ferrero,2023-04-18,82,240.9,debit_card,07:46,Montenegro
UBS,2023-04-29,94,37.13,credit_card,14:30,San Marino
Balfour Beatty,2023-11-08,49,238.7,debit_card,22:47,Albania
Deutsche Telekom,2023-08-14,5,187.22,credit_card,15:58,North Macedonia
Land Securities,2023-09-21,35,59.49,cash,21:05,Bosnia and Herzegovina
Swisscom,2023-07-01,21,101.18,debit_card,08:49,Norway
Talgo,2023-09-19,89,206.49,debit_card,12:07,Liechtenstein
Holcim,2023-06-29,87,42.39,debit_card,15:32,Spain
Abertis,2023-04-09,4,15.38,debit_card,16:49,Netherlands
Sacyr,2023-11-18,26,25.45,cash,17:32,Romania
Adecco Group,2023-08-24,80,184.38,debit_card,07:18,Poland
UBS,2023-06-12,89,148.54,credit_card,08:18,Lithuania
Randstad Holding,2023-08-28,14,61.33,credit_card,04:34,Spain
Boliden,2023-08-22,68,139.29,cash,19:20,Ukraine
Centrica,2023-01-13,75,152.66,debit_card,05:42,Montenegro
Ahold Delhaize,2023-04-03,7,293.13,credit_card,07:09,Sweden
Kering,2023-08-29,9,247.02,credit_card,18:10,Romania
Volvo Group,2023-03-02,41,156.35,debit_card,15:20,Monaco
Blackstone Group,2023-01-18,89,20.83,debit_card,15:46,Finland
Abertis,2023-10-25,42,182.38,debit_card,05:50,Switzerland
Prada,2023-06-14,41,135.71,cash,04:28,Greece
Standard Chartered,2023-01-30,76,73.02,credit_card,09:12,Serbia
Orange,2023-05-30,72,255.76,credit_card,01:30,Cyprus
Ferrovial,2023-07-30,34,35.12,debit_card,00:52,Albania
ABB,2023-09-06,78,91.41,credit_card,04:37,Czech Republic
Ballast Nedam,2023-03-27,49,230.65,debit_card,18:47,Luxembourg
Valeo,2023-04-22,77,119.48,credit_card,09:11,Denmark
Endesa,2023-12-19,49,121.11,cash,18:35,Norway
Endesa,2023-04-23,90,182.57,debit_card,23:07,North Macedonia
Getinge,2023-07-13,61,102.26,cash,04:59,Iceland
Melrose Industries,2023-04-16,10,47.3,credit_card,11:12,Ukraine
Scottish Mortgage Investment Trust,2023-03-25,54,191.65,debit_card,16:41,Vatican City
St. James's Place plc,2023-09-21,14,212.26,credit_card,15:48,Albania
Moncler,2023-09-26,96,185.75,debit_card,01:22,Albania
Fraport,2023-01-15,27,35.39,credit_card,17:31,Ireland
Unite Group,2023-04-05,69,53.02,debit_card,08:08,Poland
Land Securities,2023-01-15,28,137.01,debit_card,00:44,Iceland
Glanbia,2023-06-18,65,67.7,debit_card,05:47,Belarus
Swisscom,2023-08-26,55,238.26,credit_card,17:41,Netherlands
Boliden,2023-07-02,33,72.97,cash,15:02,Sweden
Scottish Mortgage Investment Trust,2023-09-11,69,202.77,credit_card,20:20,United Kingdom
A.P. Møller – Mærsk,2023-05-07,86,91.46,cash,06:08,Monaco
Ferrero,2023-12-01,43,20.11,cash,20:06,Czech Republic
Credit Suisse,2023-03-28,69,243.49,debit_card,09:43,Sweden
Mediaset España,2023-09-10,9,212.34,cash,12:49,Andorra
ING Group,2023-12-25,71,35.52,credit_card,23:14,Vatican City
Atresmedia,2023-04-29,41,206.43,cash,15:21,Austria
Lonza Group,2023-05-25,67,121.04,debit_card,17:57,Malta
Severn Trent,2023-03-04,35,45.91,debit_card,22:35,Czech Republic
Rolls-Royce,2023-09-10,60,44.21,debit_card,23:12,Montenegro
STMicroelectronics,2023-12-17,74,159.53,cash,08:15,Moldova
Lloyds Banking Group,2023-01-08,71,131.24,credit_card,12:12,Malta
Associated British Foods,2023-08-07,53,148.14,credit_card,18:35,Luxembourg
Savills,2023-06-11,58,180.88,debit_card,14:26,Austria
Swiss Re,2023-12-25,48,128.91,credit_card,15:07,Ireland
International Airlines Group,2023-08-15,64,47.46,credit_card,10:34,Iceland
Aegon,2023-04-01,34,202.82,credit_card,21:09,Sweden
Amadeus IT Group,2023-03-16,58,48.35,debit_card,18:24,Sweden
SSE plc,2023-08-03,53,207.91,credit_card,09:16,Cyprus
International Airlines Group,2023-12-09,93,196.4,debit_card,20:24,North Macedonia
Andritz AG,2023-01-16,56,181.96,cash,05:36,Ireland
Ferrovial,2023-09-20,74,123.02,debit_card,23:14,Czech Republic
CBRE Group,2023-08-14,38,102.47,credit_card,01:03,Estonia
Inditex,2023-10-15,46,73.79,cash,12:29,Ireland
Prada,2023-04-17,57,160.83,cash,04:16,Czech Republic
Adecco Group,2023-06-11,1,240.45,debit_card,21:52,Poland
Evraz,2023-08-18,83,49.9,debit_card,08:05,Sweden
AkzoNobel,2023-08-11,23,167.82,cash,02:03,Moldova
Vienna Insurance Group,2023-02-25,58,41.83,debit_card,21:45,San Marino
Rio Tinto,2023-07-25,9,57.7,credit_card,18:18,Finland
Erste Group,2023-03-13,16,190.0,debit_card,05:58,Finland
ABB,2023-01-25,71,199.76,cash,02:03,Greece
AkzoNobel,2023-01-12,23,206.51,cash,05:43,United Kingdom
SSAB,2023-03-17,87,276.04,cash,18:32,Denmark
Imperial Brands,2023-12-05,80,218.91,cash,01:21,Ireland
Betsson,2023-04-22,4,248.62,credit_card,12:30,Netherlands
Coloplast,2023-11-05,71,270.98,cash,21:02,Bosnia and Herzegovina
Phoenix Group Holdings,2023-12-09,8,114.67,cash,09:46,Portugal
Capgemini,2023-10-23,2,88.97,cash,05:08,Denmark
Iberdrola,2023-07-03,23,46.27,cash,17:41,Andorra
Sage Group,2023-05-25,35,203.29,cash,18:21,Liechtenstein
Grupo ACS,2023-03-19,84,228.47,cash,02:19,Switzerland
Lufthansa,2023-05-06,93,201.69,cash,13:07,Slovakia
Imperial Brands,2023-05-03,78,206.07,credit_card,21:30,Moldova
Fresenius,2023-02-08,61,54.34,debit_card,18:03,Hungary
BP,2023-10-30,8,184.63,debit_card,06:39,Latvia
Standard Chartered,2023-11-23,15,131.6,credit_card,20:54,Finland
Kingfisher plc,2023-03-04,7,223.61,credit_card,03:04,Slovenia
Hammerson,2023-07-13,68,116.57,cash,17:17,Estonia
Arcadis,2023-01-24,100,188.02,cash,18:45,France
Bawag Group,2023-10-04,61,296.13,cash,14:37,Slovenia
CRH plc,2023-11-01,88,44.03,debit_card,15:13,Czech Republic
Wolseley,2023-06-22,45,216.99,debit_card,22:56,Slovakia
Lufthansa,2023-04-02,95,214.43,cash,16:46,Spain
Temenos AG,2023-08-21,8,291.62,cash,19:56,Kosovo
Unilever,2023-07-10,35,236.8,credit_card,13:25,Ukraine
ABB,2023-08-29,50,164.19,credit_card,21:03,North Macedonia
Ferrero,2023-02-22,80,114.4,credit_card,13:54,Netherlands
Admiral Group,2023-06-27,94,72.74,credit_card,18:11,Malta
Stellantis,2023-07-09,26,24.66,debit_card,04:03,Liechtenstein
Credit Suisse,2023-09-08,83,294.21,credit_card,13:49,San Marino
Scottish Mortgage Investment Trust,2023-12-13,77,105.76,credit_card,21:22,Moldova
Strabag,2023-08-07,30,66.93,credit_card,07:40,Greece
Bouygues,2023-11-20,88,38.92,cash,00:19,Croatia
Kingspan Group,2023-07-03,20,294.38,credit_card,15:44,Spain
Fortum,2023-04-09,38,190.1,cash,02:40,Cyprus
Pirelli,2023-11-25,93,145.39,credit_card,07:30,Italy
Blackstone Group,2023-11-04,66,111.22,debit_card,12:47,Romania
Amadeus IT Group,2023-09-13,25,172.04,debit_card,01:07,Liechtenstein
Morrison Supermarkets,2023-02-21,66,285.58,cash,13:58,Austria
Telecom Italia,2023-11-14,63,109.47,debit_card,08:13,Belgium
SAP,2023-10-18,94,240.69,credit_card,14:16,Luxembourg
National Grid plc,2023-12-09,98,110.13,credit_card,01:32,Vatican City
Ryanair,2023-12-13,40,12.42,credit_card,05:14,Serbia
Mediaset España,2023-10-28,21,63.07,cash,02:55,Albania
E.ON,2023-07-24,30,254.29,credit_card,04:41,Latvia
Bosch,2023-08-21,32,61.07,credit_card,20:03,North Macedonia
Poste Italiane,2023-01-11,72,123.41,debit_card,07:47,Czech Republic
